kulut_muut,kunta,kulut_muut_viestintavalineet,kulut_vaalitilaisuudet,muu_tuki,lainat,etunimi,omat_varat,kulut_radio,kulut_kaikki,yritys_tuki,puolue_lyh,kulut_tietoverkot,rahoitus_kaikki,kulut_televisio,valitetty_tuki,kulut_painettu_mat,puolueyhdistys_tuki,puolue,vaalipiiri,sukunimi,kulut_tuen_hankintakulut,kulut_mainonnan_suunnittelu,kulut_ulkomainonta,kulut_lehdet,ammatti,yksityinen_tuki,puolue_tuki
0,Pohjois-Savon vaalipiiri,0,0,0,0,Hanna-Kaisa,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Pohjois-Savon vaalipiiri,Korhonen,0,0,0,0,"VTM, koulutuspäällikkö",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Tuula Anneli,0,0,0,0,SDP,0,0,0,0,0,0,Suomen Sosialidemokraattinen Puolue,Pohjois-Savon vaalipiiri,Väätäinen,0,0,0,0,"kansanedustaja, sairaanhoitaja",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Timo Paavo Johannes,0,0,0,0,SDP,0,0,0,0,0,0,Suomen Sosialidemokraattinen Puolue,Pohjois-Savon vaalipiiri,Suhonen,0,0,0,0,"koneasentaja, varapääluottamusmies",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Kimmo Kyösti Väinämö,0,0,0,0,PS,0,0,0,0,0,0,Perussuomalaiset r.p.,Pohjois-Savon vaalipiiri,Kivelä,0,0,0,0,"rovasti, teologian maisteri",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Jukka Martti,0,0,0,0,PS,0,0,0,0,0,0,Perussuomalaiset r.p.,Pohjois-Savon vaalipiiri,Kotimäki,0,0,0,0,"lakimies, yrittäjä",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Niko-Tapio Rauno,0,0,0,0,SDP,0,0,0,0,0,0,Suomen Sosialidemokraattinen Puolue,Pohjois-Savon vaalipiiri,Korte,0,0,0,0,valtiotieteiden kandidaatti (VTK),0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Esa Jaakko Antero,0,0,0,0,M11,0,0,0,0,0,0,Muutos 2011 r.p.,Pohjois-Savon vaalipiiri,Nyyssönen,0,0,0,0,kirvesmies,0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Aki Juhani,0,0,0,0,M11,0,0,0,0,0,0,Muutos 2011 r.p.,Pohjois-Savon vaalipiiri,Järvinen,0,0,0,0,"filosofian tohtori, informaatioanalyytikko",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Tiina-Liisa,0,0,0,0,KOK,0,0,0,0,0,0,Kansallinen Kokoomus r.p.,Pohjois-Savon vaalipiiri,Liukkonen,0,0,0,0,"kauppatieteiden maisteri, kirjanpitopäällikkö",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Sirpa Helena,0,0,0,0,KOK,0,0,0,0,0,0,Kansallinen Kokoomus r.p.,Pohjois-Savon vaalipiiri,Alho-Törrönen,0,0,0,0,"sairaanhoitaja-diakonissa, yrittäjä",0,0
